email;passwordHash;nom;prenom;telephone;dateInscription;statut;role;nomPharmacie;adresse;numeroLicence;horaires;latitude;longitude;ouvert;garde;seuilStock;debutMatin;finMatin;debutApresMidi;finApresMidi
pharmacie.avicenne.monastir@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Gargouri;Aymen;+216 73 245 678;2024-07-03T11:25:00;actif;pharmacie;Pharmacie Avicenne;Avenue de l'Independance, Monastir;PH-21159;Lun-Sam 08:00-20:00;35.764300;10.811300;true;false;25;08:00;13:00;15:00;19:00
pharmacie.elhidaya.gabes@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Toumi;Nawel;+216 75 356 789;2024-07-21T14:05:00;actif;pharmacie;Pharmacie El Hidaya;Avenue Farhat Hached, Gabes;PH-21263;Lun-Sam 08:00-19:00;33.886900;10.098200;true;false;10;08:00;13:00;15:00;19:00
pharmacie.elwafa.kairouan@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Jaziri;Hamza;+216 77 467 890;2024-08-08T09:30:00;actif;pharmacie;Pharmacie El Wafa;Avenue 7 Novembre, Kairouan;PH-21378;Lun-Dim 08:00-21:00;35.678100;10.096300;true;true;20;08:00;13:00;15:00;20:00
pharmacie.elkhir.tunis@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Ayari;Soumaya;+216 71 645 982;2024-08-26T16:10:00;actif;pharmacie;Pharmacie El Khir;Rue de Marseille, Tunis;PH-21482;Lun-Sam 08:30-19:30;36.798700;10.181500;true;false;15;08:30;13:00;15:00;19:30
pharmacie.elmanzah@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Bahri;Marouane;+216 71 689 012;2024-09-13T10:45:00;actif;pharmacie;Pharmacie El Manzah;Avenue Hedi Nouira, El Manzah, Ariana;PH-21597;Lun-Sam 08:00-20:00;36.847800;10.166700;true;false;20;08:00;13:00;15:00;19:00
pharmacie.salammbo@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Hentati;Rania;+216 71 802 357;2024-10-01T08:20:00;suspendu;pharmacie;Pharmacie Salammbo;Rue de Carthage, Salammbo, Tunis;PH-21683;Lun-Ven 08:30-19:00;36.840300;10.323400;false;false;10;08:30;13:00;15:00;19:00
pharmacie.elintilaka.sfax@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Masmoudi;Fehmi;+216 74 913 468;2024-10-19T13:35:00;actif;pharmacie;Pharmacie El Intilaka;Route de Tunis Km 4, Sfax;PH-21794;Lun-Sam 08:00-19:30;34.759800;10.728500;true;false;25;08:00;13:00;15:00;19:30
pharmacie.elbustan.sousse@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Ben Romdhane;Khalil;+216 73 912 345;2024-11-06T11:00:00;actif;pharmacie;Pharmacie El Bustan;Avenue Khezama, Sousse;PH-21888;Lun-Sam 08:00-20:00;35.844500;10.602100;true;true;15;08:00;13:00;15:00;19:00
pharmacie.elwifak.nabeul@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Ghorbel;Asma;+216 72 023 456;2024-11-24T15:50:00;actif;pharmacie;Pharmacie El Wifak;Avenue Ali Belhouane, Nabeul;PH-21976;Lun-Sam 08:30-19:30;36.456200;10.738900;true;false;20;08:30;13:00;15:00;19:30
pharmacie.elmourouj@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Souissi;Lotfi;+216 71 134 567;2024-12-10T09:15:00;actif;pharmacie;Pharmacie El Mourouj;Cite El Mourouj 5, Ben Arous;PH-22087;Lun-Dim 08:00-22:00;36.726800;10.227300;true;true;10;08:00;13:00;15:00;20:00
